Phenotypes,Clusters_2,Clusters_3,Clusters_4,Clusters_5,Clusters_6,Clusters_7,Clusters_8,Clusters_9,Clusters_10,Clusters_11,Clusters_12,Clusters_13,Clusters_14,Clusters_15,Clusters_16,Clusters_17,Clusters_18,Clusters_19
10023_ZC3H18_P1P2_ENSG00000158545,0,0,1,4,5,6,1,5,4,5,9,1,2,0,1,15,7,0
10029_ZC3H8_P1P2_ENSG00000144161,1,1,3,1,0,4,7,8,3,2,10,5,12,9,15,13,5,10
10040_ZCCHC9_P1P2_ENSG00000131732,0,2,2,2,3,2,2,2,2,0,0,2,10,12,12,14,3,11
10041_ZCRB1_P1P2_ENSG00000139168,1,1,0,3,2,3,4,7,1,9,4,3,11,11,0,1,2,9
1004_C17orf58_P1P2_ENSG00000186665,0,0,1,4,1,1,5,3,0,3,3,11,8,8,10,12,10,3
10073_ZFC3H1_P1P2_ENSG00000133858,1,1,0,3,2,3,0,7,1,9,6,3,11,11,0,1,2,4
10094_ZFP69B_P1P2_ENSG00000187801,0,0,1,4,1,1,5,3,0,3,3,11,8,8,10,12,10,3
10135_ZMAT2_P2_ENSG00000146007,0,0,1,4,1,6,1,5,4,5,7,8,13,10,4,11,13,13
10136_ZMAT2_P1_ENSG00000146007,1,1,3,1,4,4,6,6,7,8,5,9,4,7,7,8,4,1
10139_ZMAT5_P1P2_ENSG00000100319,1,1,0,3,2,3,0,7,1,9,6,3,11,11,0,1,2,4
10152_ZNF100_P1P2_ENSG00000197020,0,0,1,0,5,6,1,1,6,1,7,8,13,10,5,4,6,7
10163_ZNF131_P1P2_ENSG00000172262,0,0,1,0,5,6,1,1,6,1,7,8,13,10,5,4,6,7
10165_ZNF133_P1P2_ENSG00000125846,0,0,1,4,1,6,1,5,4,5,7,8,13,10,5,11,13,13
1016_C19orf25_P1P2_ENSG00000119559,0,0,0,0,2,3,4,1,6,1,1,4,0,5,13,6,16,6
10201_ZNF207_P2_ENSG00000010244,0,0,1,4,1,1,5,5,4,5,3,1,2,8,4,11,13,13
10202_ZNF207_P1_ENSG00000010244,1,1,3,1,0,4,7,8,3,2,10,5,12,9,15,13,5,10
1022_C19orf53_P1P2_ENSG00000104979,0,0,1,4,1,1,5,3,0,3,3,11,8,4,10,12,10,3
10231_ZNF236_P1P2_ENSG00000130856,0,2,2,2,3,2,2,2,2,0,0,2,10,12,12,14,3,11
10236_ZNF24_P1P2_ENSG00000172466,0,0,1,4,1,1,5,3,0,3,3,1,2,8,4,11,13,13
10239_ZNF253_P1P2_ENSG00000256771,1,1,0,3,2,0,0,4,8,4,11,12,9,14,6,7,11,4
10266_ZNF284_ENST00000421176.3_ENSG00000186026,0,0,1,4,5,6,1,5,4,5,9,1,2,0,1,15,7,0
10280_ZNF317_P1P2_ENSG00000130803,0,0,1,4,5,6,1,5,4,5,9,1,2,0,1,15,7,0
10297_ZNF335_P1P2_ENSG00000198026,1,1,0,3,2,0,0,4,8,4,11,12,9,14,6,7,11,14
1029_C1D_P1P2_ENSG00000197223,0,0,1,0,5,6,4,1,5,6,9,6,5,6,11,15,7,16
1032_C1QBP_P1P2_ENSG00000108561,1,1,0,3,0,0,7,7,1,9,6,3,1,1,9,5,15,17
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0,0,1,4,1,1,5,3,0,3,3,1,2,8,4,11,13,13
1033_C1QTNF4_P1P2_ENSG00000172247,1,1,0,3,0,0,7,8,3,2,6,5,1,1,9,5,15,17
1035_C1orf109_P1_ENSG00000116922,0,0,1,4,1,1,5,5,4,5,9,1,2,0,1,2,0,15
1036_C1orf109_P2_ENSG00000116922,0,0,1,4,1,1,1,5,4,5,7,1,2,8,4,11,13,13
10380_ZNF468_P1P2_ENSG00000204604,0,0,1,4,1,1,5,3,0,3,3,1,2,8,4,2,0,15
10397_ZNF492_P1P2_ENSG00000229676,0,0,1,4,5,6,1,5,4,5,7,8,13,10,5,4,13,13
10405_ZNF506_P1P2_ENSG00000081665,0,0,1,0,5,6,1,1,5,6,9,6,5,6,11,15,7,0
10447_ZNF559_P1P2_ENSG00000188321,1,1,0,3,0,0,7,8,3,2,10,5,1,1,9,5,15,17
10463_ZNF574_P1_ENSG00000105732,0,2,2,2,3,2,2,2,2,10,8,7,7,2,3,3,14,8
10464_ZNF574_P2_ENSG00000105732,0,0,1,0,5,6,1,5,4,5,7,8,13,10,5,4,6,7
104_ACTB_P1P2_ENSG00000075624,1,1,0,3,0,0,0,4,8,4,11,12,9,14,6,7,11,14
"10531_ZNF658_ENST00000377626.3,ENST00000602553.1_ENSG00000274349",0,0,1,4,1,1,5,3,0,3,3,1,2,8,4,2,0,15
10542_ZNF674_P1P2_ENSG00000251192,0,0,1,4,1,1,5,5,4,5,3,1,2,8,4,11,13,13
10544_ZNF676_ENST00000397121.2_ENSG00000196109,1,1,0,3,0,0,7,8,3,2,6,3,1,1,9,5,15,17
10553_ZNF687_P1P2_ENSG00000143373,0,0,0,0,5,3,4,1,6,1,1,4,0,5,13,6,16,6
"10585_ZNF718_ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_ENSG00000250312",0,0,1,4,1,1,5,3,0,3,3,11,8,4,10,12,10,3
10586_ZNF718_ENST00000502662.1_ENSG00000250312,1,1,3,3,0,0,7,8,3,2,10,5,1,1,9,5,15,17
10587_ZNF718_ENST00000400172.3_ENSG00000250312,0,0,1,4,1,6,1,5,4,5,7,8,13,10,5,11,13,13
10589_ZNF720_P1P2_ENSG00000197302,0,0,0,0,5,3,4,1,6,1,1,4,0,5,13,6,16,6
10611_ZNF763_P1P2_ENSG00000197054,0,0,1,4,1,1,5,3,0,3,3,1,2,8,4,2,0,15
10663_ZNF830_P1P2_ENSG00000198783,1,1,3,1,0,4,7,8,3,2,10,5,12,9,15,13,5,10
106_ACTL6A_P1P2_ENSG00000136518,0,0,0,0,2,3,4,1,6,1,1,4,0,5,13,6,16,6
10700_ZNHIT2_P1P2_ENSG00000174276,1,1,3,3,0,0,7,8,3,2,10,5,12,9,15,13,5,10
10701_ZNHIT3_P1P2_ENSG00000273611,0,0,1,4,1,1,5,3,0,3,3,11,8,8,10,12,10,3
10702_ZNHIT6_P1P2_ENSG00000117174,0,2,2,2,3,2,2,2,2,0,0,2,10,12,12,14,3,11
10703_ZNRD1_P1P2_ENSG00000066379,0,2,2,2,3,2,2,2,2,10,8,7,7,2,3,3,14,8
10706_ZRANB2_P1P2_ENSG00000132485,0,0,1,4,1,1,5,5,4,5,9,1,2,0,1,2,0,15
10708_ZRSR2_P1P2_ENSG00000169249,0,0,0,0,5,6,4,1,5,6,4,6,5,6,11,9,17,16
10736_ZW10_P1P2_ENSG00000086827,0,0,0,0,5,3,4,1,6,1,1,4,0,5,13,6,16,6
10738_ZWINT_P1P2_ENSG00000122952,1,1,0,3,2,0,0,7,1,9,6,3,11,11,0,1,2,4
10753_non-targeting_non-targeting_non-targeting,0,0,1,4,1,1,5,3,0,3,3,11,8,4,10,12,10,3
10759_non-targeting_non-targeting_non-targeting,0,0,1,4,1,1,5,5,4,5,7,1,2,8,4,11,13,13
10760_non-targeting_non-targeting_non-targeting,1,1,0,3,2,3,0,4,8,4,11,4,9,14,13,7,16,6
