Phenotypes,Clusters_2,Clusters_3,Clusters_4,Clusters_5,Clusters_6,Clusters_7,Clusters_8,Clusters_9,Clusters_10,Clusters_11,Clusters_12,Clusters_13,Clusters_14,Clusters_15,Clusters_16,Clusters_17,Clusters_18,Clusters_19
10023_ZC3H18_P1P2_ENSG00000158545,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
10029_ZC3H8_P1P2_ENSG00000144161,0,1,1,3,0,6,5,4,3,6,11,6,6,13,4,6,17,14
10040_ZCCHC9_P1P2_ENSG00000131732,1,2,2,2,2,2,2,1,8,8,2,10,8,8,2,2,2,0
10041_ZCRB1_P1P2_ENSG00000139168,0,1,3,0,5,4,7,8,4,9,1,11,3,1,9,3,3,17
1004_C17orf58_P1P2_ENSG00000186665,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
10073_ZFC3H1_P1P2_ENSG00000133858,0,1,3,0,5,0,3,8,4,9,1,11,3,1,9,3,3,17
10094_ZFP69B_P1P2_ENSG00000187801,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,12
10135_ZMAT2_P2_ENSG00000146007,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10136_ZMAT2_P1_ENSG00000146007,0,1,1,3,0,6,5,7,7,6,11,6,11,5,11,4,5,10
10139_ZMAT5_P1P2_ENSG00000100319,0,1,3,0,5,0,3,8,4,9,1,11,3,1,9,3,3,17
10152_ZNF100_P1P2_ENSG00000197020,1,0,3,4,1,1,1,0,6,10,10,0,13,9,3,16,14,6
10163_ZNF131_P1P2_ENSG00000172262,1,0,3,4,1,4,1,0,6,10,10,0,13,9,3,16,14,6
10165_ZNF133_P1P2_ENSG00000125846,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
1016_C19orf25_P1P2_ENSG00000119559,1,0,3,4,1,4,4,0,6,10,10,0,13,9,3,9,10,18
10201_ZNF207_P2_ENSG00000010244,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,5,9,5
10202_ZNF207_P1_ENSG00000010244,0,1,1,3,0,6,5,4,3,6,11,4,6,13,4,6,17,14
1022_C19orf53_P1P2_ENSG00000104979,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10231_ZNF236_P1P2_ENSG00000130856,1,2,2,2,2,2,2,1,8,8,2,10,8,8,2,2,2,0
10236_ZNF24_P1P2_ENSG00000172466,1,0,0,1,4,5,6,2,5,7,6,9,4,12,8,0,11,2
10239_ZNF253_P1P2_ENSG00000256771,0,1,3,0,5,0,3,8,4,5,7,11,10,7,9,3,3,17
10266_ZNF284_ENST00000421176.3_ENSG00000186026,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
10280_ZNF317_P1P2_ENSG00000130803,1,0,0,4,1,1,1,6,0,3,5,7,7,4,5,7,16,11
10297_ZNF335_P1P2_ENSG00000198026,0,1,3,0,5,0,4,8,4,5,7,5,10,7,9,3,13,17
1029_C1D_P1P2_ENSG00000197223,1,0,0,4,1,1,7,6,0,3,5,7,7,4,5,7,16,11
1032_C1QBP_P1P2_ENSG00000108561,0,1,1,0,3,0,3,8,4,0,4,4,5,6,1,10,8,13
10336_ZNF407_ENST00000299687.5_ENSG00000215421,1,0,0,1,4,5,6,2,5,1,0,3,12,10,8,0,11,2
1033_C1QTNF4_P1P2_ENSG00000172247,0,1,1,0,5,0,3,8,4,0,4,4,5,6,1,10,8,4
1035_C1orf109_P1_ENSG00000116922,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
1036_C1orf109_P2_ENSG00000116922,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10380_ZNF468_P1P2_ENSG00000204604,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,9,5
10397_ZNF492_P1P2_ENSG00000229676,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10405_ZNF506_P1P2_ENSG00000081665,1,0,0,4,1,1,7,6,0,3,5,7,7,4,5,7,16,11
10447_ZNF559_P1P2_ENSG00000188321,0,1,1,0,5,0,3,8,4,0,4,4,5,6,1,10,8,4
10463_ZNF574_P1_ENSG00000105732,1,2,2,2,2,2,2,1,2,2,8,2,2,0,6,13,6,15
10464_ZNF574_P2_ENSG00000105732,1,0,0,4,1,1,1,5,9,1,0,12,0,2,12,16,1,16
104_ACTB_P1P2_ENSG00000075624,0,1,3,0,5,0,4,4,3,5,7,5,10,7,14,12,13,7
"10531_ZNF658_ENST00000377626.3,ENST00000602553.1_ENSG00000274349",1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,5,9,5
10542_ZNF674_P1P2_ENSG00000251192,1,0,0,1,4,5,6,5,9,1,0,3,12,2,8,0,11,2
10544_ZNF676_ENST00000397121.2_ENSG00000196109,0,1,1,0,5,0,3,8,4,0,4,4,5,6,1,10,8,4
10553_ZNF687_P1P2_ENSG00000143373,1,0,3,4,1,4,7,6,0,10,10,7,7,4,3,7,14,6
"10585_ZNF718_ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_ENSG00000250312",1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10586_ZNF718_ENST00000502662.1_ENSG00000250312,0,1,1,0,5,0,3,4,3,0,4,4,5,6,1,6,8,4
10587_ZNF718_ENST00000400172.3_ENSG00000250312,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10589_ZNF720_P1P2_ENSG00000197302,1,0,3,4,1,4,4,0,6,10,10,0,13,9,3,9,14,6
10611_ZNF763_P1P2_ENSG00000197054,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,11,2
10663_ZNF830_P1P2_ENSG00000198783,0,1,1,3,0,6,5,4,3,0,4,4,6,13,4,6,17,14
106_ACTL6A_P1P2_ENSG00000136518,1,0,3,4,1,4,7,6,0,9,1,11,3,1,7,14,7,1
10700_ZNHIT2_P1P2_ENSG00000174276,0,1,1,3,0,6,5,4,3,5,11,6,6,13,4,6,17,14
10701_ZNHIT3_P1P2_ENSG00000273611,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
10702_ZNHIT6_P1P2_ENSG00000117174,1,2,2,2,2,2,2,1,8,8,2,10,8,8,2,2,2,0
10703_ZNRD1_P1P2_ENSG00000066379,1,2,2,2,2,2,2,1,2,2,8,2,2,0,6,13,6,15
10706_ZRANB2_P1P2_ENSG00000132485,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
10708_ZRSR2_P1P2_ENSG00000169249,1,0,3,4,1,4,1,6,0,10,10,7,7,4,5,16,16,6
10736_ZW10_P1P2_ENSG00000086827,1,0,3,4,1,4,4,0,6,10,10,0,13,9,3,9,14,18
10738_ZWINT_P1P2_ENSG00000122952,0,1,3,0,5,0,3,8,4,9,1,11,3,1,9,3,3,17
10753_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10759_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10760_non-targeting_non-targeting_non-targeting,0,1,3,0,5,4,4,0,6,9,1,0,10,7,9,9,10,18
10772_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10783_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,9,1,7,3,1,7,14,7,1
10795_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10803_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10804_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,0,11,2
10811_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10813_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,5,9,5
10817_non-targeting_non-targeting_non-targeting,0,1,3,0,5,0,4,8,4,9,1,11,10,7,9,3,3,17
10818_non-targeting_non-targeting_non-targeting,0,1,3,0,5,4,7,8,4,9,1,11,3,1,7,14,7,1
10822_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10823_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
10826_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10832_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,1,5,12,7,4,5,7,16,11
1083_NEPRO_P1P2_ENSG00000163608,1,2,2,2,2,2,2,1,8,8,2,10,8,8,2,2,2,0
10841_non-targeting_non-targeting_non-targeting,1,0,3,4,1,1,7,6,0,3,5,7,7,4,5,7,16,11
10845_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
10848_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
10853_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
10857_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,11,2
10858_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,9,5
10859_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,1,0,3,12,10,8,5,9,5
10866_non-targeting_non-targeting_non-targeting,0,0,3,4,1,4,4,0,6,10,10,0,13,9,3,9,10,18
10867_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10872_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
10880_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,3,5,7,7,4,5,7,16,11
10881_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,0,6,10,10,0,13,9,3,9,14,6
10882_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10884_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,3,5,7,7,4,5,14,7,11
10891_non-targeting_non-targeting_non-targeting,1,0,3,4,1,1,1,6,0,3,5,7,7,4,5,7,16,6
10893_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,1,0,12,0,2,12,16,1,16
10894_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,12,0,2,12,0,11,2
10895_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10897_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,1,0,3,12,10,5,7,16,11
10899_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,0,11,2
10904_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10908_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10910_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,0,11,2
10916_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,8,5,11,5
10953_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,1,0,3,12,10,8,5,9,5
10954_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
10969_non-targeting_non-targeting_non-targeting,0,1,3,0,5,0,4,8,4,5,7,5,10,7,9,3,10,17
10970_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,5,9,5
10980_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,5,9,5
10998_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
10999_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,4,0,6,10,10,0,13,9,3,9,14,6
109_ACTR10_P1P2_ENSG00000131966,1,0,0,4,1,1,1,5,9,10,10,12,0,2,12,16,1,16
10_AARS2_P1P2_ENSG00000124608,1,0,3,4,1,4,1,0,6,10,10,0,13,9,3,16,14,6
11011_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,9,1,0,3,12,10,8,0,11,2
11013_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,1,0,3,12,10,8,5,9,5
11020_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
11023_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,3,5,7,7,4,7,14,7,1
11032_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
11047_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,4,0,6,10,10,0,13,9,3,9,14,6
11054_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,1,0,3,12,10,5,7,16,11
11055_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
11059_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,0,11,2
11067_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
11070_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
1107_C6orf15_P1P2_ENSG00000204542,0,1,1,0,5,0,3,8,4,0,4,4,5,6,1,10,8,13
11085_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,9,5
11097_non-targeting_non-targeting_non-targeting,0,1,3,0,5,0,3,8,4,0,4,11,5,6,9,3,3,17
11098_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,3,5,7,7,4,3,7,16,6
110_ACTR1A_P1P2_ENSG00000138107,1,0,0,1,4,1,1,5,9,1,0,12,0,2,12,0,1,16
11100_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,3,5,7,7,4,5,7,16,11
11103_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,1,0,12,0,2,12,16,1,16
11106_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,11,2
11111_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,10,10,12,0,2,12,16,1,16
11138_non-targeting_non-targeting_non-targeting,0,1,3,0,5,4,4,0,6,9,1,0,10,7,9,9,10,18
11145_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
11171_non-targeting_non-targeting_non-targeting,1,0,0,1,4,1,1,5,9,1,0,3,12,10,8,5,9,5
11176_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,3,5,7,7,4,5,7,16,11
11179_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,9,5
11181_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,11,4,12
11186_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,1,0,12,0,2,12,16,1,16
11187_non-targeting_non-targeting_non-targeting,1,0,0,1,4,5,6,5,5,1,0,3,12,10,8,5,9,5
1118_C7orf26_P1P2_ENSG00000146576,0,1,3,0,5,0,3,8,4,9,1,11,3,1,9,3,3,17
11199_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,5,9,3,5,12,0,2,5,16,16,11
111_ACTR1B_P1P2_ENSG00000115073,1,0,0,1,4,5,6,2,5,7,6,9,4,12,0,0,11,2
11207_non-targeting_non-targeting_non-targeting,1,0,0,4,1,1,1,0,9,10,10,12,0,2,12,16,1,6
11218_non-targeting_non-targeting_non-targeting,1,0,3,4,1,4,7,6,0,3,5,7,7,4,5,7,16,11
