,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,10023_ZC3H18_P1P2_ENSG00000158545,1,2,1,2,0,6,6,8,2,6,0,11,11,13,2,13,4,1,17,19,1,21,4,11,23,23,17,22,21,7,17,8,6,21,18,28,23,25,35,40,11,39,34,12,34,39,39,17,47,33,29,29,0,20,11,42,16,24,40,28,26,44,46,51,65,42,60,31,30,51,53,65,31,48,17,40,24,9,70,17,70,9,51,12,60,34,79,25,55,25,79,12,50,25,60,61,9,94
1,10029_ZC3H8_P1P2_ENSG00000144161,1,2,1,0,2,3,2,2,8,5,10,9,13,7,4,6,6,16,6,2,3,8,11,5,4,0,0,5,9,9,13,14,19,31,6,0,34,2,38,36,6,33,8,31,44,21,19,41,44,42,34,41,38,34,37,45,53,25,58,29,59,25,14,27,31,5,32,61,1,3,63,55,28,30,28,60,68,0,4,33,67,60,54,51,6,80,4,82,30,4,0,32,7,65,13,63,89,32
2,10040_ZCCHC9_P1P2_ENSG00000131732,0,0,3,3,4,1,4,7,3,2,7,6,1,2,3,7,3,5,8,5,7,2,7,8,7,9,6,9,0,2,9,7,7,8,25,7,4,5,34,7,5,3,4,32,6,5,30,3,9,23,32,7,3,2,3,44,31,30,7,44,36,4,4,6,4,50,48,12,52,50,44,0,41,3,6,2,7,53,15,69,73,56,41,68,48,4,53,71,86,14,37,3,11,57,3,71,88,4
3,10041_ZCRB1_P1P2_ENSG00000139168,1,2,1,2,0,6,6,8,2,6,0,11,11,13,11,13,4,1,17,19,16,21,18,18,3,11,4,13,7,7,28,6,6,32,8,23,25,15,18,34,14,0,14,7,23,15,24,46,26,49,40,25,50,1,55,12,40,56,53,41,18,19,16,25,54,65,29,51,69,10,42,17,67,39,55,51,6,19,38,76,29,82,1,54,1,24,3,1,70,63,39,83,5,68,65,22,90,84
4,1004_C17orf58_P1P2_ENSG00000186665,0,0,3,2,3,6,7,1,7,4,8,5,6,4,8,12,10,3,5,0,18,11,22,10,18,6,23,25,4,4,7,17,17,17,14,35,29,35,25,15,9,15,36,0,31,18,17,16,0,44,37,12,43,13,53,36,32,42,1,45,21,53,44,52,59,49,37,41,67,36,51,19,65,4,33,45,67,39,57,47,25,43,68,38,27,54,78,19,11,38,21,65,28,44,54,50,2,49
5,10073_ZFC3H1_P1P2_ENSG00000133858,0,0,3,1,3,2,7,6,7,9,6,12,5,8,15,10,1,17,10,17,20,13,3,17,14,21,11,26,14,24,22,12,16,19,1,6,7,18,32,30,35,37,15,38,35,38,37,21,6,47,51,18,40,26,21,20,36,22,3,30,27,39,45,11,19,43,40,21,54,37,19,20,53,19,64,38,30,38,27,24,36,44,60,1,38,38,47,42,25,33,32,53,41,53,45,59,45,46
6,10094_ZFP69B_P1P2_ENSG00000187801,0,1,0,1,3,2,7,1,7,0,5,1,0,1,5,1,0,18,14,3,14,20,20,7,13,1,20,19,1,1,21,15,21,22,29,11,12,17,21,29,23,24,11,35,38,17,40,15,46,26,45,39,4,51,12,46,7,32,13,55,33,32,20,14,17,30,13,22,0,56,39,56,25,35,65,3,21,21,78,58,80,25,9,80,32,51,8,57,24,51,46,17,51,93,80,77,21,75
7,10135_ZMAT2_P2_ENSG00000146007,0,1,0,1,1,2,3,6,0,9,1,7,12,5,0,9,12,0,7,7,8,18,15,14,20,24,14,16,15,17,26,13,23,23,34,22,20,32,19,14,21,30,38,24,22,28,32,30,14,41,8,42,13,46,33,30,34,50,35,38,24,59,3,60,53,16,25,39,55,0,55,33,23,8,43,31,20,56,32,43,47,42,11,73,4,6,60,44,64,59,52,45,13,40,28,41,96,93
8,10136_ZMAT2_P1_ENSG00000146007,1,2,1,0,2,3,2,2,8,5,10,9,13,7,4,6,6,16,6,2,3,8,11,5,4,0,0,5,9,9,29,14,0,7,6,12,30,16,29,18,39,9,18,37,15,26,36,43,7,42,6,5,42,23,16,21,33,52,20,40,6,36,34,7,58,14,63,4,63,18,7,35,39,70,50,7,0,40,44,16,39,7,22,28,51,26,15,50,39,54,18,60,79,32,87,86,81,73
9,10139_ZMAT5_P1P2_ENSG00000100319,1,2,1,2,0,6,6,8,2,6,0,11,11,13,2,13,4,1,17,19,1,21,18,18,3,11,4,13,7,7,28,6,6,32,8,23,25,15,18,34,14,0,14,7,23,15,24,46,26,13,40,25,50,1,55,12,40,56,53,41,18,19,16,25,54,65,29,51,69,34,42,17,67,39,55,51,6,19,38,76,29,82,1,54,1,24,3,1,70,63,39,21,5,68,65,22,90,84
