Genotypes,Clusters_2,Clusters_3,Clusters_4,Clusters_5,Clusters_6,Clusters_7,Clusters_8,Clusters_9,Clusters_10,Clusters_11,Clusters_12,Clusters_13,Clusters_14,Clusters_15,Clusters_16,Clusters_17,Clusters_18,Clusters_19
ENSG00000237491,0,1,3,2,0,6,7,4,3,1,3,0,10,3,5,11,15,15
ENSG00000228794,1,2,0,4,2,3,1,7,0,0,5,2,7,13,9,2,0,13
ENSG00000188976,1,0,0,4,2,3,1,5,7,8,0,0,0,13,14,10,13,9
ENSG00000187961,0,1,1,3,0,4,4,3,5,8,0,4,9,9,4,16,3,9
ENSG00000188290,1,2,0,3,3,4,7,4,3,1,0,5,4,0,13,6,5,2
ENSG00000187608,1,2,0,1,1,2,5,2,9,9,5,2,3,6,8,7,8,14
ENSG00000078808,1,0,2,4,4,1,6,5,2,3,0,4,7,7,10,6,10,16
ENSG00000176022,0,1,1,0,1,0,2,3,1,5,7,6,2,1,0,12,16,17
ENSG00000160087,0,1,1,1,2,3,2,3,1,5,8,4,11,1,0,1,8,18
ENSG00000131584,1,0,2,2,3,0,1,7,2,2,4,0,13,7,15,12,2,2
ENSG00000169972,1,2,2,0,5,1,4,0,6,8,5,7,10,7,3,14,1,5
ENSG00000127054,1,1,2,1,5,5,4,6,8,9,3,5,1,2,7,14,17,18
ENSG00000107404,1,1,3,4,2,1,3,5,0,0,4,1,13,13,11,2,6,0
ENSG00000162576,0,2,3,3,2,4,3,0,4,2,0,1,7,0,13,6,6,2
ENSG00000175756,1,1,3,1,5,5,0,7,1,9,5,7,13,12,6,9,17,3
ENSG00000221978,0,1,3,1,1,6,3,5,8,10,7,6,2,2,12,1,9,17
ENSG00000224870,0,1,1,2,2,5,1,3,4,2,9,3,9,11,0,6,4,7
ENSG00000242485,1,0,0,2,4,3,6,5,6,6,10,10,5,7,2,8,10,6
ENSG00000160072,0,1,3,3,0,1,6,7,5,7,11,4,4,6,8,16,17,7
ENSG00000197785,0,0,3,4,2,2,7,4,4,0,5,1,4,3,9,11,7,15
ENSG00000160075,0,1,1,2,0,0,7,3,1,0,3,9,11,9,1,2,12,11
ENSG00000228594,1,2,2,4,2,1,3,0,7,4,8,2,0,0,8,1,0,17
ENSG00000197530,0,0,0,1,4,6,2,5,2,6,2,2,11,5,1,10,12,11
ENSG00000248333,0,0,0,2,2,3,6,4,6,8,10,10,11,3,1,13,8,0
ENSG00000189339,0,0,0,2,0,6,5,8,5,5,9,8,2,11,1,13,13,12
ENSG00000008128,0,1,3,4,0,4,2,3,4,5,9,0,6,8,4,16,2,15
ENSG00000008130,1,2,2,0,1,3,6,6,2,7,0,2,9,13,12,5,5,16
ENSG00000078369,0,1,1,3,0,4,3,8,8,2,2,9,5,5,14,14,12,2
ENSG00000162585,0,2,1,3,1,2,3,4,6,8,8,2,9,4,6,1,3,1
ENSG00000157933,0,0,3,0,4,3,7,4,6,6,10,11,5,8,1,11,10,14
ENSG00000157916,0,0,1,3,1,0,1,1,2,10,4,1,0,4,6,14,3,14
ENSG00000116213,1,2,3,0,5,4,7,4,5,6,11,12,2,10,6,11,6,15
ENSG00000235169,1,0,0,1,4,1,6,8,7,5,11,5,13,1,7,13,17,9
ENSG00000130764,1,2,0,2,2,2,3,0,4,7,10,4,8,12,15,4,11,10
ENSG00000116198,1,1,1,0,1,4,5,8,2,7,9,8,12,11,15,8,7,1
ENSG00000169598,1,1,2,0,5,2,2,3,1,9,0,7,9,10,4,7,13,11
ENSG00000198912,1,1,0,1,4,5,5,2,8,2,2,10,3,14,11,13,6,8
ENSG00000116251,1,2,0,1,4,5,2,7,9,1,2,9,2,6,4,7,2,5
ENSG00000116237,0,2,3,0,5,3,3,4,6,6,11,12,5,5,3,0,16,10
ENSG00000097021,1,2,2,4,5,2,5,0,7,9,5,2,11,4,12,11,7,15
ENSG00000162408,0,1,2,2,0,6,3,3,7,4,0,2,0,5,1,1,0,7
ENSG00000204859,0,1,1,3,1,0,3,7,1,9,9,6,7,11,11,3,15,12
