Phenotype,Clusters_2,Clusters_3,Clusters_4,Clusters_5,Clusters_6,Clusters_7,Clusters_8,Clusters_9,Clusters_10,Clusters_11,Clusters_12,Clusters_13,Clusters_14,Clusters_15,Clusters_16,Clusters_17,Clusters_18,Clusters_19
10023_ZC3H18_P1P2_ENSG00000158545,1,2,0,3,4,4,2,0,9,6,1,12,2,0,7,0,16,0
10029_ZC3H8_P1P2_ENSG00000144161,0,1,2,1,1,6,7,4,6,1,0,10,3,1,14,9,14,7
10040_ZCCHC9_P1P2_ENSG00000131732,0,1,2,4,5,1,1,7,5,5,8,4,6,9,9,16,13,13
10041_ZCRB1_P1P2_ENSG00000139168,1,2,0,3,4,4,2,8,9,6,5,11,13,5,3,14,16,16
1004_C17orf58_P1P2_ENSG00000186665,0,1,2,1,1,2,7,8,4,10,0,8,0,14,14,5,14,8
10073_ZFC3H1_P1P2_ENSG00000133858,1,1,0,1,2,3,4,8,4,10,5,11,13,5,3,14,0,10
10094_ZFP69B_P1P2_ENSG00000187801,1,2,0,3,4,3,4,2,3,2,5,11,13,5,3,14,0,16
10135_ZMAT2_P2_ENSG00000146007,1,2,0,3,4,4,2,0,9,6,1,12,2,0,7,0,16,0
10136_ZMAT2_P1_ENSG00000146007,1,1,0,1,2,3,4,4,6,1,10,0,8,12,10,8,9,10
10139_ZMAT5_P1P2_ENSG00000100319,0,1,2,4,1,2,7,7,5,5,0,8,0,14,14,5,14,8
10152_ZNF100_P1P2_ENSG00000197020,1,2,0,3,4,4,2,8,4,6,5,11,13,5,3,14,0,2
10163_ZNF131_P1P2_ENSG00000172262,0,1,2,4,1,2,7,7,5,5,0,8,0,14,14,5,14,7
10165_ZNF133_P1P2_ENSG00000125846,0,1,0,1,1,2,7,8,4,10,0,8,0,14,14,5,14,8
1016_C19orf25_P1P2_ENSG00000119559,1,1,0,1,2,3,4,2,3,2,5,11,13,5,10,4,0,10
10201_ZNF207_P2_ENSG00000010244,1,2,0,3,4,4,2,8,9,6,5,11,13,5,3,14,16,2
10202_ZNF207_P1_ENSG00000010244,1,2,0,3,4,4,2,8,4,6,5,11,13,5,3,14,0,2
1022_C19orf53_P1P2_ENSG00000104979,1,2,0,3,4,4,2,0,9,6,1,12,2,0,7,0,7,16
10231_ZNF236_P1P2_ENSG00000130856,1,1,0,3,1,2,2,8,4,10,5,11,13,5,3,14,15,2
10236_ZNF24_P1P2_ENSG00000172466,1,1,0,1,1,2,2,8,4,10,5,11,13,5,3,14,0,10
10239_ZNF253_P1P2_ENSG00000256771,1,2,0,3,4,3,4,2,3,2,6,11,5,8,10,4,0,16
10266_ZNF284_ENST00000421176.3_ENSG00000186026,1,2,0,3,4,4,6,0,0,6,1,12,2,0,7,0,17,0
10280_ZNF317_P1P2_ENSG00000130803,1,2,0,3,4,4,6,0,9,6,1,12,2,0,7,0,17,0
