,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,10023_ZC3H18_P1P2_ENSG00000158545,0,1,1,1,4,3,3,7,2,7,2,9,7,14,2,13,9,15,13,19,1,22,15,13,22,15,15,21,22,16,30,29,1,15,31,30,2,8,27,24,27,21,2,16,26,13,21,5
1,10029_ZC3H8_P1P2_ENSG00000144161,0,1,1,1,4,3,0,3,6,2,9,0,2,7,9,10,0,1,9,18,3,2,10,17,12,19,2,18,2,14,8,9,14,34,23,27,6,32,10,1,25,28,38,36,12,8,43,7
2,10040_ZCCHC9_P1P2_ENSG00000131732,0,2,0,4,0,5,3,2,8,10,7,5,1,11,8,6,2,4,3,7,13,5,2,6,9,6,20,5,10,0,20,28,19,8,9,15,9,2,5,30,11,9,19,6,19,2,2,2
3,10041_ZCRB1_P1P2_ENSG00000139168,0,2,3,3,3,2,5,1,7,0,10,2,6,4,1,16,14,11,8,0,12,8,7,2,7,25,11,13,5,15,19,23,9,33,26,23,12,36,9,8,30,30,26,15,17,5,47,11
4,1004_C17orf58_P1P2_ENSG00000186665,1,0,2,2,1,4,6,0,3,8,1,3,5,0,5,9,17,18,10,1,7,18,14,9,3,26,3,27,9,19,5,5,11,26,12,16,16,3,33,38,15,7,7,17,8,4,0,25
5,10073_ZFC3H1_P1P2_ENSG00000133858,0,1,1,1,4,3,0,7,2,7,2,9,7,3,14,5,7,7,7,6,19,4,4,0,23,10,6,1,23,4,4,11,5,30,14,28,11,30,16,31,37,1,25,44,9,33,37,15
6,10094_ZFP69B_P1P2_ENSG00000187801,1,0,2,2,1,4,6,0,3,8,1,3,5,0,5,9,17,13,18,17,16,11,5,18,16,26,3,3,15,1,28,20,2,10,0,3,34,29,23,2,32,18,40,23,27,41,23,19
7,10135_ZMAT2_P2_ENSG00000146007,1,0,2,2,1,4,6,0,3,8,1,3,12,13,3,9,3,12,12,17,2,11,3,18,16,5,10,9,15,17,25,20,24,32,32,32,32,21,2,33,29,41,20,12,33,28,13,16
8,10136_ZMAT2_P1_ENSG00000146007,0,1,1,1,4,3,0,3,6,2,9,0,2,7,9,10,0,1,9,2,17,16,10,17,12,9,17,18,24,14,8,18,14,34,25,2,6,32,10,39,1,6,5,19,12,43,25,7
9,10139_ZMAT5_P1P2_ENSG00000100319,0,1,3,3,3,2,5,1,7,0,10,2,6,4,1,16,4,11,8,4,12,8,7,2,7,25,11,12,5,15,19,23,28,33,26,35,12,36,21,8,17,30,26,31,32,5,22,11
