,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,10005_ZBTB4_P1_ENSG00000174282,1,0,1,0,0,3,7,4,9,7,8,6,3,2,15,15,14,6,14,14,8,6,8,9,14,1,13,21,12,10,31,7,13,30,20,13,9,18,26,12,40,39,33,36,23,20,36,24,42,23,31,21,26,16,2,1,25,1,11,16,20,60,18,20,21,40,11,54,1,27,8,24,37,25,31,0,13,19,30,1,27,68,7,48,0,20,65,78,20,20,55,1,18,70,12,71,42,10,10
1,10020_ZC3H13_P1P2_ENSG00000123200,1,0,1,0,5,4,4,4,9,7,8,6,3,2,3,15,14,6,14,14,8,6,8,9,14,1,2,21,1,20,31,18,27,1,25,28,21,33,19,31,40,27,33,37,32,3,46,40,42,7,3,36,45,16,51,49,9,51,1,16,1,0,1,61,40,11,62,31,60,1,54,0,30,52,64,62,76,45,16,36,7,82,43,84,79,35,78,30,53,81,29,75,71,93,74,15,81,57,49
2,10023_ZC3H18_P1P2_ENSG00000158545,1,0,1,0,5,4,4,4,9,7,8,6,3,2,3,15,14,6,14,14,3,6,8,9,2,7,2,21,1,20,31,18,27,1,25,28,21,33,19,31,2,27,33,37,32,3,46,40,42,7,3,36,45,16,51,49,9,51,1,16,1,0,1,61,40,11,62,31,60,1,54,67,30,52,64,62,76,45,16,36,7,68,43,84,79,35,78,30,53,81,29,75,71,93,74,15,81,57,49
3,10024_ZC3H3_P1P2_ENSG00000014164,1,0,3,2,0,3,2,1,0,2,11,7,6,13,1,1,12,0,4,4,15,20,9,17,22,3,22,0,13,3,1,16,31,20,18,14,36,30,20,18,37,0,10,8,31,37,45,45,24,33,47,42,24,43,48,55,26,16,42,44,35,29,48,59,65,64,66,62,32,42,44,53,68,49,55,56,42,64,53,50,64,61,13,74,53,51,48,56,33,49,61,50,51,67,45,62,47,68,57
4,10025_ZC3H4_P1_ENSG00000130749,0,2,0,3,3,5,3,0,6,10,6,8,11,4,8,2,7,7,10,8,16,7,2,22,25,12,7,11,25,30,29,0,26,9,12,6,19,8,39,4,11,29,19,40,41,30,34,15,17,43,37,2,7,50,4,13,8,58,2,49,28,32,50,55,31,25,43,38,48,15,36,22,31,23,44,63,34,25,7,0,35,18,54,43,16,64,57,45,43,68,66,2,49,24,30,17,19,85,54
5,10029_ZC3H8_P1P2_ENSG00000144161,1,0,1,0,0,3,7,5,3,9,4,4,8,8,10,6,1,12,0,6,0,5,19,13,6,10,9,20,11,17,7,11,0,10,14,27,28,25,29,24,8,13,13,9,9,0,19,44,19,12,30,14,29,52,53,21,7,7,15,11,27,4,22,52,33,23,60,9,47,4,25,9,40,26,19,9,22,32,6,8,17,73,80,16,32,80,62,38,16,64,44,5,91,0,80,11,4,25,37
6,10040_ZCCHC9_P1P2_ENSG00000131732,1,2,3,2,2,0,2,1,0,2,11,7,6,14,1,10,9,8,13,20,5,9,23,7,3,21,17,19,17,11,15,10,5,11,8,30,8,29,32,30,9,35,4,19,45,33,16,7,15,47,36,46,6,34,24,56,17,33,33,31,59,41,13,19,29,54,55,20,3,30,7,51,47,2,42,72,14,6,10,60,12,79,23,31,25,34,64,87,66,56,78,59,74,55,79,68,36,4,12
7,10041_ZCRB1_P1P2_ENSG00000139168,1,2,0,3,3,5,3,8,6,10,6,12,5,4,4,12,2,14,2,16,2,4,13,15,0,4,21,9,2,2,26,9,9,2,3,32,10,27,30,28,0,18,27,3,2,24,11,42,41,4,45,18,38,24,43,30,39,2,36,12,0,45,19,53,61,4,49,63,54,57,16,37,19,62,68,11,24,14,79,67,40,33,73,21,83,7,32,23,54,41,58,12,68,31,39,73,18,66,51
8,1004_C17orf58_P1P2_ENSG00000186665,0,1,2,4,4,1,1,2,5,5,3,3,2,5,14,8,17,3,19,11,19,15,3,16,16,19,18,1,5,0,27,21,15,3,10,17,29,11,11,33,4,41,2,25,17,29,6,41,22,45,44,49,48,32,50,31,12,56,55,24,14,30,35,57,52,51,37,41,11,43,51,62,12,37,1,38,60,47,29,48,32,57,75,33,31,11,12,27,67,35,2,14,45,54,21,19,77,48,34
9,10054_ZDHHC7_P1P2_ENSG00000153786,0,2,0,3,3,5,3,0,6,10,6,8,11,4,8,2,7,7,10,8,16,7,2,10,15,25,7,26,18,16,23,24,7,34,21,22,0,17,2,4,39,19,18,20,41,36,2,0,49,43,37,38,36,27,55,13,8,58,47,38,7,52,3,55,58,61,13,43,7,26,48,19,2,7,41,19,62,56,71,49,38,52,6,43,74,74,76,83,47,12,43,40,19,5,53,4,7,24,84
10,10055_ZDHHC7_P1P2_ENSG00000153786,0,1,2,4,4,1,1,2,5,5,3,3,7,5,14,8,6,3,19,3,19,14,3,16,19,6,18,28,26,26,2,17,3,19,15,34,2,22,21,11,10,17,25,0,1,22,35,22,2,2,38,27,39,17,18,17,27,52,49,39,10,51,20,58,22,19,41,36,53,53,46,3,4,53,34,46,32,38,73,41,42,60,65,4,6,79,84,46,72,0,74,52,39,34,92,41,92,83,6
11,10056_ZDHHC7_P1P2_ENSG00000153786,1,2,3,2,2,0,0,8,4,6,2,2,13,0,9,16,16,17,7,9,13,21,4,18,13,17,15,23,22,6,3,3,29,17,13,26,3,7,7,34,29,34,36,11,6,17,29,3,20,8,43,48,13,51,15,51,14,57,30,8,12,16,33,7,38,47,54,6,12,67,64,27,22,29,43,28,10,0,44,13,24,15,55,0,56,55,77,34,28,61,22,4,11,2,43,0,39,93,50
