,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,10005_ZBTB4_P1_ENSG00000174282,1,1,0,1,3,4,6,6,4,2,5,11,2,6,15,6,4,11,17,20,15,1,9,12,8,16,1,20,16,0,22,4,6,32,18,2,29,33,9,9,12,21,16,2,43,24,15,1,16,14,4,28,45,34,45,4,55,25,51,60,0,16,52,25,27,48,64,48,12,39,30,18,69,63,31,3,38,58,68,63,30,20,21,60,52,81,14,40,7,54,47,53,50,20,52,62,26,80
1,10020_ZC3H13_P1P2_ENSG00000123200,1,0,2,0,4,6,0,8,0,6,4,5,6,10,10,5,5,9,9,15,9,9,7,18,4,0,10,13,10,24,24,13,30,7,5,34,34,27,29,6,23,22,11,16,40,36,38,21,32,48,35,3,50,44,19,27,12,36,17,20,32,32,54,49,20,32,61,25,3,32,19,41,44,30,66,54,63,67,6,71,48,53,81,16,85,84,69,73,0,66,67,11,34,84,60,89,95,87
2,10023_ZC3H18_P1P2_ENSG00000158545,1,0,2,0,4,6,0,8,0,6,4,5,6,10,11,9,13,9,9,15,11,7,23,18,4,0,10,13,10,24,24,13,22,27,33,16,8,35,0,30,31,12,41,24,16,23,20,30,22,21,15,24,28,33,35,29,32,8,7,23,25,13,9,18,37,8,61,30,22,24,20,13,16,12,32,54,63,67,20,71,64,53,22,16,85,31,69,73,0,66,67,85,34,84,60,89,16,20
3,10024_ZC3H3_P1P2_ENSG00000014164,1,1,3,3,5,4,3,1,1,1,1,7,2,0,1,15,7,2,14,8,10,13,17,17,12,22,24,18,2,5,21,6,20,13,26,9,7,14,20,2,29,6,27,25,21,9,21,17,30,43,1,41,1,52,27,14,2,0,18,30,33,57,44,34,57,1,56,56,16,38,15,23,52,49,12,57,40,37,64,62,66,5,0,79,73,9,42,45,81,70,29,64,1,50,93,64,29,85
4,10025_ZC3H4_P1_ENSG00000130749,0,0,2,4,0,1,1,5,3,8,7,3,12,2,3,4,14,0,2,18,3,3,8,22,6,13,22,19,26,28,27,17,25,31,28,14,37,6,13,37,14,26,30,31,34,46,34,40,13,10,10,31,20,18,30,19,22,21,15,14,49,24,61,55,62,39,44,46,14,12,58,61,37,65,42,74,35,11,3,42,59,9,77,15,76,73,21,28,37,82,88,77,54,31,70,2,60,23
5,10029_ZC3H8_P1P2_ENSG00000144161,1,1,0,1,3,4,6,6,4,2,11,11,0,11,8,2,12,6,3,4,2,15,3,3,14,5,9,4,29,12,8,9,23,14,7,17,0,5,39,35,15,11,20,40,14,7,4,14,44,42,7,4,11,25,24,45,5,38,24,39,47,11,1,35,53,30,54,11,2,5,56,58,32,16,8,21,34,3,36,45,61,0,19,9,75,53,57,25,5,53,0,7,5,9,54,39,14,40
6,10040_ZCCHC9_P1P2_ENSG00000131732,1,1,3,3,5,3,3,4,5,7,6,10,4,4,6,3,2,10,0,9,4,21,15,24,17,23,16,22,14,2,12,3,33,22,25,23,22,20,18,7,0,0,12,0,28,13,22,47,9,38,5,40,27,14,4,9,9,44,52,15,9,35,31,56,2,7,55,45,19,8,57,43,56,23,24,49,3,38,7,2,3,6,48,53,47,32,60,19,87,32,20,23,22,60,62,0,58,67
7,10041_ZCRB1_P1P2_ENSG00000139168,1,0,2,4,0,1,1,5,8,8,7,3,12,2,3,7,0,0,2,18,3,3,8,14,6,25,3,28,0,16,1,7,1,25,13,7,28,37,13,37,3,5,4,39,18,18,34,23,13,10,10,31,25,1,30,19,6,11,50,24,49,52,0,44,62,3,44,46,14,60,58,61,37,65,48,11,35,11,44,29,74,50,41,15,55,73,61,28,8,82,15,19,2,31,51,47,60,44
8,1004_C17orf58_P1P2_ENSG00000186665,0,2,1,2,1,0,2,2,2,4,2,9,7,8,14,14,17,12,1,7,20,19,21,19,2,1,6,2,25,30,25,0,0,30,19,36,23,12,36,10,7,19,37,5,45,19,23,12,21,33,39,9,42,38,49,21,29,52,19,0,55,53,35,50,54,6,39,15,11,16,23,20,50,41,41,25,47,68,73,36,24,8,36,70,62,58,71,74,79,60,37,52,27,94,61,69,62,53
9,10054_ZDHHC7_P1P2_ENSG00000153786,0,0,2,0,4,6,0,8,0,6,4,8,6,5,10,5,5,14,4,18,3,3,11,22,20,13,27,7,26,26,19,30,25,3,34,14,37,19,38,37,28,41,21,4,7,46,43,40,47,0,12,42,40,46,36,53,54,45,56,50,59,30,45,27,36,29,53,61,27,67,27,3,3,71,55,7,43,27,61,68,25,45,69,4,71,38,73,62,65,57,7,54,49,65,43,12,41,72
10,10055_ZDHHC7_P1P2_ENSG00000153786,0,2,1,2,1,0,2,2,2,4,2,9,7,8,14,11,10,1,7,13,5,5,2,5,19,20,23,8,8,23,23,20,9,0,2,3,13,26,10,31,4,18,36,28,42,38,6,0,5,39,49,14,29,2,31,2,51,58,49,53,15,17,7,5,5,15,47,9,4,21,4,67,6,15,18,72,4,69,22,67,0,78,62,54,63,23,85,4,44,72,53,37,73,7,69,46,10,10
11,10056_ZDHHC7_P1P2_ENSG00000153786,1,1,3,3,5,3,3,4,5,7,6,10,4,4,6,3,2,10,0,2,21,2,0,2,22,3,2,10,3,29,2,16,27,9,16,30,2,3,5,36,19,20,29,21,4,2,0,13,6,1,21,17,15,39,37,17,44,15,12,46,34,20,11,22,55,33,15,67,56,20,55,63,70,47,74,9,56,4,18,19,78,68,6,6,70,64,17,10,4,63,87,78,65,83,8,41,79,31
12,10073_ZFC3H1_P1P2_ENSG00000133858,1,1,3,3,5,4,3,1,1,1,1,7,2,0,1,15,7,2,14,8,10,13,17,17,12,22,24,18,2,5,21,6,20,13,26,9,7,14,20,2,29,6,27,25,21,9,21,17,30,43,1,41,1,52,27,14,2,0,18,30,33,57,44,34,57,1,56,56,16,38,15,23,52,49,12,57,40,37,64,62,66,5,0,79,73,9,42,45,81,70,29,64,1,50,93,64,29,85
13,10094_ZFP69B_P1P2_ENSG00000187801,0,2,1,2,1,0,2,2,2,4,2,9,7,8,14,11,10,1,7,13,5,5,2,5,2,1,6,8,25,30,25,0,28,30,19,36,23,12,36,10,38,7,37,5,8,11,45,43,18,28,8,34,41,47,9,48,3,53,0,48,30,0,22,42,24,6,39,49,28,63,23,42,35,41,39,53,26,28,62,7,57,21,36,10,1,3,71,14,79,60,35,74,73,38,9,1,22,41
14,10104_ZFR_P1P2_ENSG00000056097,1,0,3,3,0,1,0,8,0,6,4,5,6,10,11,9,13,9,9,15,11,7,23,18,9,15,15,27,21,6,10,28,11,20,10,19,26,22,11,12,35,37,3,44,19,25,24,22,19,8,34,35,21,22,32,51,17,30,26,7,38,7,34,47,23,37,42,42,58,37,68,24,1,64,17,16,6,12,66,13,14,52,49,69,5,11,68,50,14,41,39,84,53,87,79,17,35,54
15,1011_C18orf21_P1P2_ENSG00000141428,1,1,3,3,5,3,3,4,1,7,6,10,4,0,1,15,7,2,19,8,19,6,6,8,22,3,2,10,3,5,21,16,27,9,16,30,7,14,5,36,18,40,6,6,44,44,44,34,0,27,17,46,17,37,15,28,33,33,1,1,48,39,63,6,35,44,4,21,38,40,67,52,45,1,54,30,27,71,67,75,18,26,67,38,31,2,52,67,43,73,65,21,35,15,30,32,68,93
16,10135_ZMAT2_P2_ENSG00000146007,0,0,2,4,2,2,4,5,3,8,3,0,3,7,5,4,14,5,6,3,14,3,1,22,0,24,22,19,26,28,27,17,25,31,28,31,35,6,28,1,14,26,30,27,34,5,12,20,25,15,38,5,9,45,41,36,21,21,2,14,6,58,57,55,15,66,3,2,33,44,5,19,5,61,42,41,33,39,48,53,2,67,29,47,36,46,47,64,70,4,13,46,30,61,77,63,54,62
17,10136_ZMAT2_P1_ENSG00000146007,1,1,0,1,3,4,6,6,4,2,11,11,0,11,8,2,12,6,3,4,2,15,3,3,14,5,9,4,29,12,8,9,23,14,7,17,36,16,15,25,15,42,35,9,38,26,42,39,24,47,32,52,44,35,51,11,30,51,46,11,46,29,41,38,61,43,46,57,29,30,10,8,4,48,60,42,8,40,43,38,47,40,64,52,8,12,36,33,48,5,82,25,86,25,29,96,34,18
18,10139_ZMAT5_P1P2_ENSG00000100319,1,1,3,3,5,3,3,1,1,1,1,7,2,0,1,15,7,2,14,8,10,13,17,17,12,22,24,18,6,5,21,6,13,13,0,9,7,14,20,2,25,39,27,17,21,41,21,17,30,43,1,41,1,52,27,14,19,0,18,30,33,57,44,58,57,1,56,56,16,38,15,23,52,49,12,57,40,57,64,43,66,5,0,79,73,9,42,45,81,70,29,64,1,50,93,64,73,85
19,10146_ZMYM4_P1P2_ENSG00000146463,0,2,1,0,4,2,5,0,6,0,0,2,1,1,4,16,1,17,18,10,17,17,13,16,5,4,18,17,5,1,31,32,29,11,27,26,24,13,25,27,1,16,25,41,39,31,30,41,7,50,20,8,4,42,14,22,50,13,10,57,43,40,43,30,22,52,65,14,35,62,31,39,33,57,20,0,28,26,56,66,76,61,14,50,46,60,16,53,6,19,76,92,3,37,50,85,23,58
20,10152_ZNF100_P1P2_ENSG00000197020,0,2,1,2,1,0,2,2,7,4,8,4,5,3,2,14,17,12,1,7,20,19,21,19,2,19,19,2,1,19,25,12,0,26,31,36,14,23,19,3,7,19,17,34,45,19,23,12,21,17,0,9,42,38,20,21,29,7,19,0,8,27,35,50,14,28,51,17,11,26,47,20,50,27,41,25,14,65,50,56,24,55,34,58,29,16,32,30,21,84,11,36,85,77,40,90,2,1
21,10163_ZNF131_P1P2_ENSG00000172262,1,1,3,3,5,3,3,4,5,7,1,7,13,4,6,1,11,7,8,2,21,2,0,2,22,3,2,10,3,29,2,16,27,9,16,27,2,3,5,16,18,8,33,21,35,2,44,4,6,27,21,17,15,39,52,55,49,29,54,31,18,20,24,53,8,17,25,8,0,27,33,26,70,54,37,75,52,76,18,76,18,60,83,18,35,54,30,3,60,88,36,78,82,42,48,49,33,27
22,10165_ZNF133_P1P2_ENSG00000125846,0,2,1,2,1,0,2,7,7,5,8,4,5,3,2,14,17,12,1,7,20,19,21,19,21,19,19,2,1,19,3,12,16,26,31,11,14,23,19,3,27,38,40,34,1,0,1,31,21,17,27,20,2,20,20,7,25,7,44,45,42,43,2,51,14,34,30,17,69,34,13,47,18,72,50,24,14,25,32,20,63,80,80,28,29,79,65,44,9,28,55,36,7,63,22,30,90,1
