,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,10005_ZBTB4_P1_ENSG00000174282,1,0,1,0,3,3,1,0,4,1,0,9,9,4,4,4,4,4,4,1,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,1,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,8,3,3,1,0,46,94,94,94,94,94,94
1,10020_ZC3H13_P1P2_ENSG00000123200,1,0,1,0,3,3,1,0,4,1,0,9,9,4,4,4,4,4,4,1,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,1,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
2,10023_ZC3H18_P1P2_ENSG00000158545,1,0,1,0,3,3,1,0,4,1,0,9,9,4,4,4,4,4,4,1,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,1,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
3,10024_ZC3H3_P1P2_ENSG00000014164,1,0,3,3,1,1,0,3,3,3,1,0,6,6,6,6,2,2,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,9,9,4,4,4,4,4,4,1,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,93,93,93,93,93,93,93
4,10025_ZC3H4_P1_ENSG00000130749,0,2,2,2,2,0,3,1,0,4,4,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,7,7,7,3,3,1,0,45,45,45,45,45,22,22,22,22,22,22,22,10,10,10,10,10,10,10,4,4,4,4,4,1,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
5,10029_ZC3H8_P1P2_ENSG00000144161,1,0,1,0,5,5,5,5,5,5,5,5,5,5,2,2,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,8,8,3,3,3,3,3,1,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9,4,4,4,1,1,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
6,10040_ZCCHC9_P1P2_ENSG00000131732,1,0,3,3,1,1,0,3,3,3,1,0,6,6,6,6,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,1,0,38,38,38,38,38,38,38,38,38,38,38,38,38,18,18,18,18,18,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,1,0,39,39,39,39,39,19,19,19,19,19,9,9,9,4,4,4,4,4,4,4,4,4,1,1,1,0,32
7,10041_ZCRB1_P1P2_ENSG00000139168,0,2,2,2,2,0,3,1,0,4,4,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,2,0,11,11,11,11,11,11,11,11,5,5,2,2,2,2,2,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,11,11,11,11,5,5,2,0,98,98
8,1004_C17orf58_P1P2_ENSG00000186665,0,1,0,1,0,6,6,6,6,6,6,6,2,2,0,16,16,16,16,16,16,16,7,7,3,3,1,0,11,11,11,5,5,5,5,5,5,5,5,2,2,0,8,8,3,1,1,1,1,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,12,12,12
9,10054_ZDHHC7_P1P2_ENSG00000153786,0,2,2,2,2,0,7,7,7,7,3,3,3,3,3,1,1,0,6,6,6,6,6,6,6,2,2,2,0,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,2,0,45,45,45,45,45,45,45,22,22,22,22,22,22,22,10,10,10,10,10,4,1,0,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
